Unnamed: 0,id,country,year,wealth,wealthpooled,households,LATNUM,LONGNUM
1824,1824_Burkina Faso_2014,Burkina Faso,2014,-0.365104616,-0.247920588,26,12.88084,-2.159946
1825,1825_Burkina Faso_2014,Burkina Faso,2014,-0.244073331,0.002585605,24,13.80123,-2.302947
1827,1827_Burkina Faso_2014,Burkina Faso,2014,-0.150779203,0.039088249,25,13.739626,-2.407009
1828,1828_Burkina Faso_2014,Burkina Faso,2014,2.037415504,1.303031087,22,13.56202,-2.403568
1830,1830_Burkina Faso_2014,Burkina Faso,2014,0.895336807,0.387479931,25,13.575417,-2.393398
1831,1831_Burkina Faso_2014,Burkina Faso,2014,-0.180815995,-0.116388686,25,13.481365,-2.333555
1832,1832_Burkina Faso_2014,Burkina Faso,2014,-0.574202895,-0.436158895,24,13.510857,-2.12119
1833,1833_Burkina Faso_2014,Burkina Faso,2014,-0.449226797,-0.316087157,25,13.599608,-2.746991
1834,1834_Burkina Faso_2014,Burkina Faso,2014,-0.38308695,-0.287358493,23,13.768228,-2.664091
1835,1835_Burkina Faso_2014,Burkina Faso,2014,-0.262569994,-0.164579287,25,14.111737,-2.300884
1840,1840_Burkina Faso_2014,Burkina Faso,2014,-0.281555593,0.019967729,25,12.095076,-0.727719
1841,1841_Burkina Faso_2014,Burkina Faso,2014,-0.253454804,0.022956641,25,11.957861,-0.79682
1842,1842_Burkina Faso_2014,Burkina Faso,2014,0.371358395,0.318237007,25,12.459906,-0.709961
1843,1843_Burkina Faso_2014,Burkina Faso,2014,-0.143602073,0.00811541,24,12.29876,-0.898775
1844,1844_Burkina Faso_2014,Burkina Faso,2014,-0.631620824,-0.520056725,25,12.527385,-0.824256
1845,1845_Burkina Faso_2014,Burkina Faso,2014,-0.284414083,-0.043845743,22,12.308705,-0.773419
1849,1849_Burkina Faso_2014,Burkina Faso,2014,-0.205467507,-0.139973998,24,12.752869,-1.556428
1850,1850_Burkina Faso_2014,Burkina Faso,2014,-0.273416519,-0.05483358,23,12.5497,-1.31477
1851,1851_Burkina Faso_2014,Burkina Faso,2014,-0.487713754,-0.090492159,24,12.357231,-1.109934
1853,1853_Burkina Faso_2014,Burkina Faso,2014,1.799838066,1.25240767,26,12.582977,-1.313419
1854,1854_Burkina Faso_2014,Burkina Faso,2014,-0.371990412,-0.10249123,25,12.781639,-1.297641
